class1,class2,class3,class4,class5,class6,class7,class8,class9,class10
{-3.137,0.077,-1.157,1.589,0.204,1.898,0.17,0.676,-1.033,-.635}
{-3.262,0.956,-0.791,1.528,-0.021,0.977,-0.121,0.499,-0.99,-.621}
{-2.045,0.819,-1.46,0.652,-0.701,0.352,-0.087,0.793,-0.567,-.013}
{-1.993,1.725,-1.13,0.556,-1.223,0.485,0.211,-0.04,-0.294,-.548}
{-2.765,2.817,-2.02,0.213,-0.772,0.852,0.252,-0.193,-0.202,-.093}
{-2.550,2.391,-1.137,0.09,-0.948,0.217,0.051,0.723,-0.558,-.204}
{-3.297,2.88,-0.859,-0.301,-1.02,0.798,0.288,0.855,-0.528,-.662}
{-4.047,3.899,-0.423,0.147,-1.273,0.203,0.317,0.531,0.584,-.110}
{-4.101,2.84,-0.802,0.062,-0.733,1.304,-0.145,0.443,0.049,-.611}
{-4.693,3.146,-0.136,0.587,-0.731,1.055,-0.104,-0.021,0.637,-.192}
{-3.730,1.872,-0.801,0.555,-0.427,0.791,0.196,0.65,-0.744,-.372}
},{,,,,,,,,
{-3.019,0.058,-1.265,1.497,0.171,1.997,0.178,0.847,-1.16,-.548}
{-3.339,1.004,-0.747,1.505,-0.068,1.007,-0.017,0.377,-0.775,-.899}
{-2.008,0.785,-1.489,0.654,-0.685,0.313,-0.085,0.856,-0.516,-.053}
{-1.951,1.684,-1.039,0.586,-1.166,0.345,0.33,-0.108,-0.198,-.609}
{-2.785,2.792,-1.924,0.225,-0.985,1.076,0.07,-0.071,-0.257,-.135}
{-2.538,2.351,-1.029,0.146,-0.922,0.201,-0.058,0.835,-0.712,-.074}
{-3.231,3.003,-1.161,-0.315,-0.816,0.87,0.311,0.677,-0.565,-.700}
{-4.033,4.071,-0.586,0.127,-1.447,0.62,0.197,0.711,0.48,-.306}
{-4.130,3.105,-1.141,0.183,-0.498,1.324,-0.399,0.675,-0.339,-.694}
{-4.718,3.281,-0.203,0.651,-0.883,1.413,-0.663,0.583,0.237,-.307}
{-3.700,1.841,-0.675,0.441,-0.383,0.89,0.176,0.594,-0.677,-.408}
},{,,,,,,,,
{-2.973,0.036,-1.273,1.519,0.195,1.98,0.131,0.832,-1.157,-.547}
{-3.485,1.092,-0.674,1.395,-0.027,1.039,-0.047,0.384,-0.761,-.934}
{-1.929,0.777,-1.415,0.598,-0.579,0.215,-0.061,0.733,-0.333,-.235}
{-1.928,1.578,-0.997,0.672,-1.287,0.381,0.249,0.006,-0.167,-.637}
{-2.823,2.743,-2.012,0.234,-0.919,1.103,0.091,-0.177,-0.143,-.090}
{-2.521,2.283,-0.954,0.232,-0.918,0.253,-0.094,0.833,-0.704,-.092}
{-3.173,3.166,-1.501,-0.37,-0.437,0.974,0.179,0.556,-0.794,-.549}
{-4.049,4.039,-0.558,0.064,-1.676,1.024,0.047,1.024,-0.091,-.283}
{-4.130,3.291,-1.424,0.359,-0.273,1.297,-0.454,0.62,-0.527,-.709}
{-4.753,3.421,-0.189,0.656,-0.984,1.443,-0.652,0.546,0.123,-.326}
{-3.725,1.904,-0.737,0.433,-0.369,1.047,0.12,0.425,-0.678,-.391}
},{,,,,,,,,
{-3.000,0.042,-1.238,1.529,0.187,2.028,0.104,0.759,-1.18,-.634}
{-3.587,1.193,-0.617,1.34,-0.022,1.103,-0.072,0.368,-0.854,-.767}
{-1.895,0.755,-1.388,0.638,-0.614,0.246,-0.033,0.693,-0.27,-.346}
{-1.925,1.517,-0.999,0.634,-1.27,0.207,0.385,0.004,-0.141,-.624}
{-2.797,2.706,-1.936,0.147,-0.921,1.24,-0.082,-0.006,-0.214,-.064}
{-2.561,2.191,-0.955,0.214,-0.841,0.386,-0.083,0.74,-0.612,-.196}
{-3.152,3.176,-1.573,-0.204,-0.485,0.723,0.308,0.652,-0.872,-.586}
{-4.064,4.106,-0.545,0.03,-1.645,0.904,0.103,0.907,0.05,-.322}
{-4.139,3.363,-1.464,0.459,-0.066,1.045,-0.146,0.172,-0.124,-.864}
{-4.782,3.325,-0.071,0.663,-0.913,1.012,-0.033,-0.103,0.483,-.202}
{-3.731,1.927,-0.705,0.453,-0.372,1.149,0.046,0.323,-0.627,-.331}
},{,,,,,,,,
{-3.055,0.088,-1.217,1.562,0.186,2.059,0.054,0.639,-1.121,-.757}
{-3.711,1.377,-0.584,1.428,-0.033,1.062,-0.127,0.328,-1.092,-.565}
{-1.926,0.689,-1.433,0.716,-0.588,0.269,-0.044,0.716,-0.245,-.285}
{-1.948,1.536,-1.012,0.537,-1.229,0.183,0.46,-0.002,-0.178,-.576}
{-2.800,2.609,-1.726,0.036,-0.941,1.039,0.191,0.044,-0.165,-.234}
{-2.691,2.111,-1.067,0.174,-0.649,0.431,-0.017,0.655,-0.498,-.292}
{-3.190,3.101,-1.659,-0.182,-0.436,0.828,0.272,0.502,-0.857,-.516}
{-4.074,4.187,-0.555,0.052,-1.603,0.73,-0.061,0.981,0.249,-.250}
{-4.174,3.54,-1.43,0.417,0.267,0.918,-0.118,-0.267,-0.162,-.710}
{-4.827,3.391,-0.099,0.599,-0.723,0.741,0.089,-0.214,0.518,-.074}
{-3.735,2.096,-0.818,0.463,-0.221,1.144,0.023,0.224,-0.745,-.325}
},{,,,,,,,,
{-3.117,0.146,-1.228,1.635,0.223,2.026,0.036,0.569,-1.15,-.767}
{-3.871,1.694,-0.606,1.428,0.044,0.844,-0.013,0.126,-1.218,-.553}
{-2.029,0.698,-1.482,0.813,-0.681,0.422,0.016,0.751,-0.3,-.237}
{-1.998,1.497,-1.005,0.519,-1.236,0.398,0.273,0.151,-0.319,-.490}
{-2.914,2.541,-1.567,0.067,-1.051,1.207,0.006,0.289,-0.325,-.343}
{-2.937,2.183,-1.291,0.355,-0.372,0.57,0.045,0.452,-0.705,-.263}
{-3.239,2.916,-1.406,-0.455,-0.454,1.219,0.078,0.383,-0.776,-.413}
{-4.069,4.205,-0.614,-0.06,-1.462,0.476,0.381,0.589,0.405,-.259}
{-4.235,3.775,-1.593,0.814,0.288,0.805,-0.566,-0.247,-0.409,-.556}
{-4.884,3.63,-0.279,0.496,-0.67,0.792,-0.005,-0.137,0.532,-.184}
{-3.756,2.204,-0.716,0.529,-0.284,1.121,0.022,0.127,-0.782,-.394}
},{,,,,,,,,
{-4.066,0.398,-0.382,1.679,0.121,1.617,0.504,-0.315,-0.226,-.873}
{-2.966,0.659,-1.057,1.36,0.152,1.435,0.197,0.926,-0.45,-.637}
{-2.695,1.119,-0.986,0.172,0.499,0.372,0.088,0.63,-0.721,-.256}
{-2.482,1.896,-1.289,0.112,0.285,0.096,0.022,0.832,-0.333,-.764}
{-2.742,2.729,-0.129,-0.49,-0.573,0.868,0.07,0.771,0.053,-.939}
{-2.434,2.903,-1.341,-0.411,0.372,0.843,-0.022,0.336,0.123,-.747}
{-2.973,3.557,-0.396,-0.719,-0.669,0.923,0.293,1.009,0.14,-1.098}
{-4.103,3.812,0.255,-0.103,-0.994,0.097,-0.345,2.039,0.02,-.430}
{-3.863,3.245,-0.996,0.486,-0.348,0.19,0.558,1.342,0.176,-.318}
{-4.611,2.962,-0.856,1.161,-0.612,0.469,0.162,0.705,0.37,-.916}
{-3.548,1.611,-0.85,0.374,0.168,0.318,0.463,0.863,-1.131,-.334}
},{,,,,,,,,
{-4.052,0.35,-0.314,1.734,0.127,1.667,0.512,-0.377,-0.358,-.855}
{-3.034,0.694,-1.007,1.453,0.155,1.48,0.179,1.005,-0.54,-.563}
{-2.667,1.132,-1.054,0.232,0.537,0.352,0.163,0.55,-0.688,-.295}
{-2.395,1.929,-1.496,0.372,0.065,0.009,0.149,0.813,-0.484,-.672}
{-2.758,2.839,-0.282,-0.449,-0.485,0.788,0.12,0.792,0.023,-.949}
{-2.464,2.755,-0.975,-0.651,0.158,1.047,-0.145,0.203,0.246,-.745}
{-3.045,3.312,0.171,-0.605,-1.027,0.924,0.353,0.897,0.365,-.871}
{-4.089,3.712,0.315,-0.05,-0.929,0.018,-0.35,1.77,0.244,-.301}
{-3.989,3.582,-1.1,0.374,-0.12,0.291,0.663,0.96,0.023,-.477}
{-4.602,3.043,-0.959,0.828,-0.298,0.315,0.423,0.57,0.387,-.617}
{-3.707,1.486,-0.494,0.402,0.183,0.186,0.234,1.029,-0.856,-.408}
},{,,,,,,,,
{-3.894,0.117,-0.407,1.973,0.043,1.891,0.411,-0.095,-0.436,-1.015}
{-3.053,0.716,-1.024,1.422,0.184,1.473,0.261,0.983,-0.431,-.717}
{-2.615,1.185,-1.162,0.395,0.459,0.345,0.298,0.456,-0.62,-.307}
{-2.303,1.954,-1.493,0.305,0.047,0.056,0.026,0.902,-0.522,-.645}
{-2.790,2.665,0.036,-0.44,-0.604,0.811,0.098,0.723,0.134,-.910}
{-2.445,2.678,-0.816,-0.743,0.076,1.117,-0.057,0.018,0.281,-.720}
{-3.024,3.26,0.35,-0.577,-1.183,0.872,0.556,0.762,0.395,-.665}
{-3.983,3.695,0.096,-0.333,-1.01,0.169,-0.108,1.674,0.262,-.231}
{-3.960,3.373,-1.235,0.152,0.031,0.664,0.558,0.841,-0.133,-.317}
{-4.617,3.033,-0.909,0.604,-0.341,0.636,0.294,0.527,0.48,-.558}
{-3.789,1.42,-0.372,0.568,0.123,0.185,0.078,1.006,-0.722,-.391}
},{,,,,,,,,
{-3.676,-0.185,-0.563,2.377,0.096,1.854,0.303,0.296,-0.358,-1.205}
{-3.033,0.7,-1.077,1.266,0.196,1.453,0.317,0.947,-0.324,-.828}
{-2.600,1.219,-1.315,0.589,0.311,0.364,0.451,0.35,-0.556,-.314}
{-2.316,2.007,-1.365,0.181,0.206,0.071,0.037,0.814,-0.332,-.753}
{-2.700,2.686,-0.043,-0.528,-0.626,0.917,0.167,0.652,0.1,-.937}
{-2.444,2.529,-0.487,-0.814,-0.151,1.285,0.077,-0.064,0.287,-.638}
{-2.969,3.128,0.504,-0.487,-1.371,0.704,0.66,0.676,0.469,-.525}
{-3.878,3.816,-0.155,-0.668,-1.207,0.541,0.022,1.972,-0.029,-.290}
{-3.896,2.768,-0.816,-0.014,-0.125,0.168,0.307,1.203,0.246,-.118}
{-4.717,3.059,-0.682,0.532,-0.48,0.731,0.174,0.493,0.635,-.473}
{-3.689,1.367,-0.389,0.376,0.136,0.343,0.156,1.01,-0.611,-.551}
},{,,,,,,,,
{-3.644,-0.215,-0.579,2.307,0.046,1.945,0.28,0.272,-0.539,-1.226}
{-3.034,0.452,-0.946,0.931,0.128,1.514,0.142,0.932,-0.104,-.974}
{-2.817,1.268,-1.127,0.707,0.399,0.406,0.289,0.319,-0.691,-.379}
{-2.382,1.984,-1.096,-0.103,0.369,0.204,-0.125,0.752,-0.136,-.959}
{-2.540,2.925,-0.377,-0.745,-0.562,0.981,0.303,0.539,0.127,-.959}
{-2.505,2.358,-0.184,-0.792,-0.316,1.363,0.302,-0.121,0.214,-.622}
{-2.951,2.64,0.832,-0.387,-1.502,0.272,0.756,0.538,0.616,-.399}
{-3.979,3.661,0.169,-0.598,-1.412,0.569,0.009,1.939,0.094,-.149}
{-4.083,2.315,-0.375,0.52,-0.019,-0.211,-0.172,1.054,0.387,.168}
{-4.805,3.228,-0.501,0.602,-0.532,0.745,0.09,0.445,0.756,-.420}
{-3.661,1.292,-0.433,0.34,0.098,0.363,0.246,0.911,-0.415,-.507}
},{,,,,,,,,
{-3.337,-0.347,-0.79,2.129,-0.058,2.079,0.295,0.246,-0.687,-1.241}
{-3.000,0.217,-0.855,0.803,-0.008,1.795,-0.01,1.07,-0.061,-1.046}
{-3.047,1.267,-0.799,0.507,0.524,0.507,0.044,0.302,-0.731,-.431}
{-2.450,1.993,-1.08,-0.09,0.367,0.324,-0.164,0.684,-0.181,-1.013}
{-2.544,2.725,-0.067,-0.787,-0.903,0.97,0.524,0.32,0.283,-.822}
{-2.703,2.066,0.205,-0.63,-0.345,1.229,0.403,-0.032,0.247,-.696}
{-3.015,2.219,0.996,-0.455,-1.514,0.047,0.864,0.468,0.657,-.343}
{-4.122,3.177,0.529,-0.176,-1.307,0.132,-0.279,1.353,0.458,-.009}
{-4.047,2.626,-0.597,0.823,-0.266,0.048,0.049,0.882,0.359,-.203}
{-4.893,3.37,-0.464,0.538,-0.327,0.496,0.27,0.47,0.742,-.141}
{-3.664,1.119,-0.459,0.482,0.082,0.221,0.185,0.861,-0.237,-.413}
},{,,,,,,,,
{-2.463,-0.197,-1.264,1.15,0.234,1.833,0.066,0.738,-1.382,-.498}
{-2.913,0.757,-0.819,1.245,0.419,1.17,0.051,0.328,-0.96,-.614}
{-2.012,1.134,-1.029,0.205,0.661,0.359,0.456,0.372,-0.939,-.613}
{-2.101,1.502,-0.322,-0.363,0.026,0.116,0.162,-0.074,-0.106,-.397}
{-2.565,1.871,-0.269,0.187,-0.656,0.267,-0.328,0.184,0.348,-.511}
{-2.346,1.604,-0.283,0.393,-0.416,0.268,-0.463,0.387,0.253,-.504}
{-3.008,2.882,-0.9,0.214,-0.565,-0.197,0.449,0.305,0.413,-.300}
{-3.823,3.536,-2.07,0.245,-0.442,1.125,0.73,0.538,-0.006,-.640}
{-4.019,3.52,-1.058,-0.2,-0.545,1.348,0.351,0.82,-0.868,-.434}
{-4.022,0.941,-0.623,1.461,0.02,1.904,-0.074,0.464,-0.541,-.211}
{-3.209,1.85,-0.394,0.555,0.425,0.313,0.067,0.077,-0.163,-.944}
},{,,,,,,,,
{-2.377,-0.266,-1.371,1.09,0.24,1.843,0.107,0.702,-1.256,-.620}
{-2.961,0.766,-0.8,0.962,0.658,1.012,0.347,-0.015,-0.425,-.746}
{-2.207,1.09,-0.627,0.024,0.912,0.662,0.241,0.348,-0.702,-.912}
{-2.131,1.487,-0.302,-0.272,0.012,0.067,0.149,0.022,-0.133,-.322}
{-2.596,1.867,-0.208,0.208,-0.574,0.146,-0.214,0.116,0.395,-.541}
{-2.378,1.568,-0.243,0.407,-0.428,0.229,-0.293,0.297,0.372,-.512}
{-3.117,2.876,-0.746,-0.047,-0.427,-0.053,0.453,0.305,0.541,-.489}
{-3.911,3.703,-1.965,0.132,-0.209,0.929,0.811,0.495,-0.142,-.519}
{-4.135,3.651,-0.751,-0.066,-0.789,1.131,0.496,0.788,-0.883,-.351}
{-4.028,0.982,-0.648,1.478,-0.048,2.108,-0.146,0.467,-0.654,-.193}
{-3.265,1.933,-0.316,0.602,0.438,0.336,0.048,0.134,-0.16,-.991}
},{,,,,,,,,
{-2.382,-0.294,-1.397,1.051,0.211,1.901,0.151,0.654,-1.286,-.609}
{-2.941,0.71,-0.855,0.902,0.635,0.924,0.466,0.01,-0.342,-.588}
{-2.306,1.086,-0.59,0.106,0.931,0.733,0.213,0.274,-0.684,-.911}
{-2.162,1.533,-0.267,-0.287,-0.026,0.122,0.168,-0.024,-0.268,-.270}
{-2.639,1.88,-0.389,0.204,-0.571,0.094,-0.233,0.279,0.426,-.598}
{-2.458,1.586,-0.359,0.376,-0.244,0.134,-0.163,0.298,0.444,-.711}
{-3.242,2.901,-0.632,-0.332,-0.421,0.226,0.536,0.142,0.623,-.616}
{-3.977,3.684,-1.242,-0.364,-0.217,0.594,0.759,0.6,0.069,-.250}
{-4.094,3.586,-0.845,-0.026,-0.538,0.964,0.666,0.647,-0.412,-.477}
{-4.138,1.128,-0.601,1.553,-0.019,2.039,-0.176,0.262,-0.551,-.362}
{-3.242,1.802,-0.482,0.699,0.424,0.337,0.115,0.272,-0.205,-1.074}
},{,,,,,,,,
{-2.453,-0.32,-1.368,1.04,0.174,1.985,0.158,0.59,-1.318,-.587}
{-2.957,0.596,-0.756,0.89,0.58,0.836,0.543,0.036,-0.232,-.579}
{-2.289,1.106,-0.816,0.228,0.867,0.616,0.338,0.298,-0.843,-.832}
{-2.175,1.631,-0.331,-0.203,-0.159,0.246,0.18,-0.093,-0.351,-.267}
{-2.723,1.975,-0.636,0.336,-0.677,0.156,-0.342,0.479,0.381,-.729}
{-2.580,1.608,-0.311,0.273,-0.148,0.262,-0.062,0.167,0.337,-.692}
{-3.311,2.946,-0.808,-0.3,-0.457,0.324,0.515,0.149,0.533,-.718}
{-4.052,3.747,-1.24,-0.299,-0.426,0.917,0.517,0.716,-0.21,-.125}
{-4.039,3.506,-0.964,0.041,-0.4,0.976,0.65,0.659,-0.216,-.327}
{-4.319,1.338,-0.549,1.678,0.027,1.922,-0.228,0.161,-0.47,-.442}
{-3.329,1.788,-0.517,0.597,0.503,0.278,0.121,0.176,-0.159,-.980}
},{,,,,,,,,
{-2.460,-0.325,-1.404,0.928,0.122,2.049,0.274,0.532,-1.113,-.769}
{-2.904,0.458,-0.656,0.832,0.61,0.805,0.568,0.041,-0.114,-.615}
{-2.318,1.097,-0.832,0.26,0.821,0.588,0.402,0.327,-0.852,-.773}
{-2.147,1.655,-0.355,-0.082,-0.194,0.296,0.146,-0.083,-0.314,-.308}
{-2.733,2.026,-0.71,0.377,-0.774,0.284,-0.469,0.693,0.205,-.740}
{-2.729,1.595,-0.15,0.167,0.015,0.377,0.083,-0.038,0.166,-.672}
{-3.338,3.033,-1.189,-0.269,-0.364,0.544,0.491,0.148,0.365,-.931}
{-4.048,3.753,-1.15,-0.209,-0.53,0.871,0.445,0.716,-0.131,.139}
{-4.142,3.454,-0.653,0.271,-0.598,0.793,0.563,0.52,-0.118,-.330}
{-4.457,1.512,-0.514,1.764,0.063,1.86,-0.332,0.189,-0.521,-.415}
{-3.407,1.821,-0.675,0.765,0.256,0.469,-0.09,0.322,-0.387,-.968}
},{,,,,,,,,
{-2.391,-0.347,-1.474,0.843,0.089,2.021,0.417,0.502,-0.86,-.978}
{-2.919,0.463,-0.716,0.957,0.635,0.833,0.501,0.048,-0.134,-.638}
{-2.385,1.01,-0.754,0.37,0.785,0.471,0.415,0.318,-0.797,-.679}
{-2.104,1.6,-0.297,-0.071,-0.172,0.285,0.152,-0.089,-0.296,-.370}
{-2.706,2.07,-0.691,0.31,-0.745,0.266,-0.413,0.602,0.36,-.713}
{-2.855,1.587,-0.03,0.202,0.165,0.445,0.207,-0.067,-0.013,-.712}
{-3.339,3.011,-1.264,-0.343,-0.119,0.498,0.589,0.078,0.221,-.822}
{-4.039,3.689,-1.007,-0.139,-0.542,0.587,0.535,0.465,0.194,.168}
{-4.172,3.07,-0.781,0.516,-0.627,1.006,0.531,0.441,-0.102,-.456}
{-4.494,1.535,-0.495,1.715,0.044,1.892,-0.367,0.362,-0.583,-.291}
{-3.285,1.547,-0.897,0.917,0.127,0.402,-0.011,0.502,-0.557,-.715}
},{,,,,,,,,
{-3.415,-0.538,0.241,2.038,0.622,1.027,-0.701,-0.66,-0.418,.781}
{-3.439,1.007,0.02,1.491,0.777,0.257,-0.777,-0.282,-0.707,.746}
{-2.814,1.515,-0.088,0.597,-0.033,-0.29,-0.445,0.113,-0.136,.662}
{-2.027,2.157,-0.297,-0.211,-0.266,0.086,-0.176,-0.179,-0.283,.292}
{-2.263,3.344,-1.165,-0.625,-0.159,0.926,0.13,-0.33,-0.783,.310}
{-2.594,2.584,-0.37,-0.524,-0.177,0.515,-0.137,0.095,-0.731,.072}
{-2.702,3.596,-0.57,-1.041,-0.709,1.009,0.403,0.426,-1.013,-.009}
{-3.440,3.203,-0.698,-0.86,-0.542,1.503,0.922,0.467,-0.183,-.919}
{-3.961,4.144,-0.934,-0.089,-0.612,0.787,0.326,0.182,-0.487,-.719}
{-4.471,3.192,-0.161,0.117,-0.327,0.406,-0.201,0.919,-0.716,-.933}
{-3.012,2.252,-0.806,0.389,-0.11,0.649,-0.328,0.321,-0.559,.234}
},{,,,,,,,,
{-3.705,-0.204,0.274,1.569,0.883,1.366,-0.94,-0.691,-0.162,.598}
{-3.303,0.702,-0.209,1.627,0.818,0.287,-0.541,-0.198,-0.717,.768}
{-2.640,1.322,-0.111,0.861,0.026,-0.354,-0.425,0.083,-0.235,.781}
{-1.948,2.143,-0.068,-0.211,-0.238,0.263,-0.27,-0.238,-0.342,.147}
{-2.247,3.42,-0.887,-0.823,-0.297,0.774,0.185,-0.242,-0.79,.046}
{-2.489,2.401,-0.44,-0.367,-0.069,0.533,0.011,0.118,-0.621,-.188}
{-2.776,3.557,-0.435,-1.044,-0.572,1.273,0.221,0.295,-0.986,-.040}
{-3.356,3.236,-0.653,-0.9,-0.661,1.43,0.901,0.395,-0.139,-.726}
{-3.909,3.674,-0.648,0.088,-0.365,0.199,0.424,0.336,-0.012,-.252}
{-4.386,3.055,0.075,-0.018,-0.436,0.566,-0.288,0.936,-0.577,-1.010}
{-3.067,2.549,-0.851,0.505,0.044,0.574,-0.377,0.147,-0.606,.189}
},{,,,,,,,,
{-3.699,-0.251,0.268,1.585,0.85,1.381,-0.867,-0.71,-0.19,.567}
{-3.266,0.577,-0.261,1.481,0.874,0.301,-0.496,-0.012,-0.623,.879}
{-2.676,1.411,-0.098,1.047,-0.04,-0.131,-0.56,-0.03,-0.192,.705}
{-1.899,2.135,0.092,-0.11,-0.145,0.081,-0.067,-0.104,-0.408,-.099}
{-2.305,3.625,-1.203,-0.665,-0.296,0.775,0.197,-0.282,-0.842,.188}
{-2.489,2.379,-0.523,-0.158,-0.178,0.406,0.198,0.059,-0.589,-.256}
{-2.898,3.393,-0.409,-0.993,-0.587,1.322,0.24,0.231,-1.068,-.094}
{-3.376,3.327,-0.797,-0.849,-0.681,1.198,0.838,0.244,-0.298,-.618}
{-3.828,3.188,-0.388,0.055,-0.185,-0.029,0.503,0.273,0.326,.100}
{-4.283,2.829,0.296,0.086,-0.544,0.501,-0.317,0.995,-0.34,-1.113}
{-3.189,2.62,-0.833,0.45,0.009,0.444,-0.348,0.126,-0.614,.081}
},{,,,,,,,,
{-3.490,-0.474,0.187,1.747,0.733,1.307,-0.816,-0.787,-0.222,.410}
{-3.155,0.613,-0.285,1.287,0.882,0.337,-0.624,0.067,-0.516,.891}
{-2.762,1.51,-0.145,1.157,-0.256,0.041,-0.647,-0.324,-0.128,.806}
{-1.959,2.285,-0.089,-0.262,-0.013,0.019,-0.233,-0.068,-0.268,-.022}
{-2.364,3.743,-1.393,-0.361,-0.354,1.004,0.208,-0.376,-1.046,.722}
{-2.577,2.449,-0.38,0.174,-0.41,0.383,0.19,0.097,-0.489,-.084}
{-2.919,3.48,-0.823,-0.751,-0.416,1.045,0.609,0.18,-1.172,.123}
{-3.387,3.286,-0.747,-0.699,-0.9,0.891,0.875,0.46,-0.457,-.636}
{-3.818,3.159,-0.298,-0.058,-0.348,0.194,0.593,0.211,0.531,-.014}
{-4.299,2.775,0.244,0.177,-0.436,0.261,-0.308,1.175,-0.227,-1.115}
{-3.269,2.489,-0.76,0.352,-0.092,0.432,-0.27,0.242,-0.523,.010}
},{,,,,,,,,
{-2.852,-0.805,-0.313,1.565,0.688,1.467,-0.664,-0.916,-0.279,.489}
{-3.379,0.95,-0.06,1.47,0.538,0.051,-0.681,-0.098,-0.405,.912}
{-2.836,1.561,-0.076,1.229,-0.291,-0.036,-0.369,-0.393,-0.181,.850}
{-2.021,2.493,-0.416,-0.116,0.094,-0.033,-0.4,-0.08,-0.136,.069}
{-2.411,3.85,-1.405,-0.302,-0.398,1.069,0.216,-0.291,-1.116,1.043}
{-2.708,2.56,-0.439,0.324,-0.348,0.429,0.091,-0.037,-0.434,.344}
{-2.883,3.576,-1.198,-0.562,-0.162,0.974,0.764,-0.03,-1.023,.346}
{-3.390,3.422,-0.718,-0.667,-0.871,0.788,0.959,0.555,-0.482,-.724}
{-3.972,3.24,-0.829,0.069,-0.617,0.977,0.532,0.498,-0.191,-.910}
{-4.513,3.08,0.068,0.05,-0.484,0.341,-0.257,1.302,-0.517,-1.057}
{-3.292,2.595,-0.578,0.42,-0.233,0.391,-0.241,0.437,-0.541,-.021}
},{,,,,,,,,
{-2.527,-0.926,-0.571,1.613,0.628,1.229,-0.687,-0.808,-0.354,.625}
{-3.498,1.669,0.076,1.53,0.38,-0.135,-0.814,-0.208,-0.307,1.053}
{-2.851,1.412,-0.184,1.281,0,-0.146,-0.172,-0.419,-0.307,.874}
{-2.026,2.433,-0.411,0.064,0.223,-0.027,-0.424,-0.009,-0.305,.345}
{-2.460,3.706,-1.304,-0.339,-0.487,1.125,0.187,-0.211,-1.068,.944}
{-2.879,2.662,-0.572,0.425,-0.248,0.213,0.176,-0.281,-0.404,.605}
{-2.818,3.685,-1.413,-0.558,0.025,0.871,0.688,-0.144,-0.93,.282}
{-3.396,3.867,-1.029,-0.603,-0.573,0.78,1.209,0.228,-0.673,-.562}
{-3.905,3.147,-1.259,0.304,-0.216,1.055,0.578,0.353,-0.517,-.871}
{-4.568,3.344,-0.005,-0.092,-0.546,0.479,-0.168,1.186,-0.565,-1.025}
{-3.350,2.713,-0.472,0.4,-0.196,0.248,-0.224,0.53,-0.358,-.091}
},{,,,,,,,,
{-4.711,1.166,1.244,1.746,0.311,-0.305,-0.691,-0.137,-0.288,1.023}
{-4.057,1.925,0.521,1.331,0.273,-0.167,-0.365,-0.665,-0.512,.716}
{-3.097,1.385,-0.173,1.392,-0.613,-0.143,-0.014,-0.565,-0.065,1.129}
{-2.931,1.85,-0.896,0.685,-1,0.504,0.212,-0.276,-0.203,.595}
{-2.942,2.642,-1.217,0.384,-0.994,1.467,0.134,-0.458,-0.465,.646}
{-3.065,1.781,-0.915,0.698,0.175,0.662,-0.086,-0.361,-0.774,.951}
{-3.318,3.395,-1.706,0.753,-0.214,1.431,0,-0.192,-1.33,.030}
{-3.747,4.267,-1.847,-0.235,0.38,0.885,-0.049,-0.258,-0.772,-.110}
{-4.039,2.061,-0.727,0.888,0.302,0.413,-0.381,-0.194,-0.614,.410}
{-4.080,2.242,-0.28,1.876,0.72,-0.292,-0.537,-0.54,-0.663,.238}
{-3.483,2.628,-0.383,0.838,0.2,0.102,-0.162,-0.547,-0.791,1.018}
},{,,,,,,,,
{-4.689,1.015,1.312,1.802,0.313,-0.405,-0.663,0.106,-0.325,.838}
{-4.013,2.101,0.295,1.292,0.45,-0.024,-0.565,-0.588,-0.343,.695}
{-2.972,1.151,-0.293,1.609,-0.724,0.123,-0.087,-0.801,0.04,1.070}
{-3.029,1.747,-0.899,0.674,-1.046,0.558,0.204,-0.155,-0.237,.655}
{-2.926,2.673,-1.242,0.396,-1.029,1.548,0.05,-0.592,-0.331,.595}
{-3.075,1.824,-0.905,0.727,0.155,0.608,-0.075,-0.377,-0.74,.852}
{-3.400,3.441,-1.805,0.814,-0.162,1.445,-0.11,-0.499,-1.201,-.046}
{-3.797,4.314,-1.596,-0.476,0.044,0.903,0.129,-0.141,-0.646,-.318}
{-4.083,2.193,-0.492,0.695,0.251,0.423,-0.558,-0.123,-0.53,.376}
{-4.045,2.377,-0.3,2.002,0.826,-0.18,-0.768,-0.408,-0.787,.156}
{-3.455,2.561,-0.421,0.847,0.33,0.057,-0.177,-0.494,-0.786,.951}
},{,,,,,,,,
{-4.756,1.197,1.431,1.54,0.262,-0.277,-0.741,0.075,-0.26,.876}
{-3.999,2.138,0.295,1.086,0.699,-0.127,-0.634,-0.4,-0.505,.856}
{-2.964,1.154,-0.373,1.511,-0.583,0.152,-0.012,-0.949,-0.054,1.160}
{-3.053,1.518,-0.729,0.828,-1.211,0.499,0.326,-0.136,-0.263,.750}
{-2.967,2.781,-1.277,0.354,-0.936,1.505,-0.004,-0.418,-0.56,.725}
{-3.206,1.899,-0.933,0.733,0.261,0.565,-0.225,-0.339,-0.677,.765}
{-3.492,3.446,-1.734,0.705,-0.23,1.339,0.092,-0.698,-1.143,-.050}
{-3.847,4.268,-1.521,-0.465,-0.23,1.067,-0.02,0.005,-0.577,-.509}
{-4.052,2.335,-0.415,0.732,0.234,0.426,-0.49,-0.218,-0.618,.340}
{-4.001,2.284,-0.365,2.106,1.006,-0.028,-0.825,-0.39,-0.898,.099}
